# Thermal sigma v for some different final states
# The final states are:
# Case 1: PDG = 12
# Case 2: PDG = 15
# Case 3: PDG =  6
# Case 4: PDG = 24
#  i     Mass [GeV]      sigvmid_1     sigvperr_1     sigvmerr_1      sigvmid_2     sigvperr_2     sigvmerr_2      sigvmid_3     sigvperr_3     sigvmerr_3      sigvmid_4     sigvperr_4     sigvmerr_4, sigv in units of cm^3/s^1
   1   0.100000E-02   0.598528E-24   0.183275E-25  -0.140211E-25   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
   2   0.150000E-02   0.589574E-24   0.181321E-25  -0.140140E-25   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
   3   0.225000E-02   0.530948E-24   0.165217E-25  -0.126135E-25   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
   4   0.337500E-02   0.471089E-24   0.144914E-25  -0.111106E-25   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
   5   0.506250E-02   0.452617E-24   0.137561E-25  -0.105340E-25   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
   6   0.759375E-02   0.459580E-24   0.139031E-25  -0.106112E-25   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
   7   0.113906E-01   0.477413E-24   0.142536E-25  -0.110442E-25   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
   8   0.170859E-01   0.499882E-24   0.149842E-25  -0.113795E-25   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
   9   0.256289E-01   0.524523E-24   0.156346E-25  -0.119372E-25   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  10   0.384434E-01   0.550060E-24   0.162998E-25  -0.125183E-25   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  11   0.576650E-01   0.576394E-24   0.170801E-25  -0.131176E-25   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  12   0.864976E-01   0.603056E-24   0.177649E-25  -0.137244E-25   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  13   0.129746E+00   0.630341E-24   0.185646E-25  -0.143493E-25   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  14   0.194620E+00   0.657717E-24   0.194339E-25  -0.147548E-25   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  15   0.291929E+00   0.681524E-24   0.200097E-25  -0.154017E-25   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  16   0.437894E+00   0.687343E-24   0.202433E-25  -0.156469E-25   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  17   0.656841E+00   0.671198E-24   0.199449E-25  -0.151642E-25   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  18   0.985261E+00   0.654294E-24   0.192145E-25  -0.147823E-25   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  19   0.147789E+01   0.643013E-24   0.190036E-25  -0.144210E-25   0.977627E-21   0.395597E-22  -0.300376E-22   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  20   0.150745E+01   0.642516E-24   0.188686E-25  -0.145162E-25   0.368720E-21   0.143811E-22  -0.109470E-22   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  21   0.153760E+01   0.641896E-24   0.189581E-25  -0.144078E-25   0.142851E-21   0.537672E-23  -0.409914E-23   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  22   0.156835E+01   0.641276E-24   0.189523E-25  -0.143820E-25   0.569499E-22   0.208378E-23  -0.157507E-23   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  23   0.159972E+01   0.640657E-24   0.188098E-25  -0.144781E-25   0.234305E-22   0.825671E-24  -0.626583E-24   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  24   0.163171E+01   0.639914E-24   0.188996E-25  -0.143634E-25   0.998876E-23   0.338587E-24  -0.258124E-24   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  25   0.166435E+01   0.639173E-24   0.188860E-25  -0.143388E-25   0.444587E-23   0.145367E-24  -0.111464E-24   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  26   0.169763E+01   0.638432E-24   0.187194E-25  -0.144517E-25   0.209448E-23   0.662859E-25  -0.504778E-25   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  27   0.173159E+01   0.637446E-24   0.188143E-25  -0.143119E-25   0.107811E-23   0.327701E-25  -0.250880E-25   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  28   0.176622E+01   0.636584E-24   0.186944E-25  -0.143821E-25   0.669635E-24   0.197987E-25  -0.152495E-25   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  29   0.180154E+01   0.635478E-24   0.187190E-25  -0.143109E-25   0.635529E-24   0.186639E-25  -0.143578E-25   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  30   0.183757E+01   0.634374E-24   0.187400E-25  -0.143322E-25   0.634373E-24   0.187380E-25  -0.142370E-25   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  31   0.187432E+01   0.633272E-24   0.185403E-25  -0.144160E-25   0.633211E-24   0.185959E-25  -0.143054E-25   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  32   0.191181E+01   0.631927E-24   0.186678E-25  -0.142769E-25   0.631926E-24   0.186574E-25  -0.142868E-25   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  33   0.195005E+01   0.630585E-24   0.186076E-25  -0.141695E-25   0.630560E-24   0.186253E-25  -0.141515E-25   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  34   0.198905E+01   0.629124E-24   0.185809E-25  -0.141212E-25   0.629116E-24   0.185827E-25  -0.141190E-25   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  35   0.202883E+01   0.627667E-24   0.184802E-25  -0.142393E-25   0.627607E-24   0.185298E-25  -0.141891E-25   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  36   0.206941E+01   0.625972E-24   0.184877E-25  -0.141463E-25   0.625967E-24   0.184814E-25  -0.141520E-25   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  37   0.211079E+01   0.624280E-24   0.184296E-25  -0.141158E-25   0.624268E-24   0.184313E-25  -0.141136E-25   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  38   0.215301E+01   0.622353E-24   0.184812E-25  -0.140722E-25   0.622433E-24   0.183255E-25  -0.141752E-25   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  39   0.322951E+01   0.501043E-24   0.154094E-25  -0.118203E-25   0.501064E-24   0.153681E-25  -0.118606E-25   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  40   0.484427E+01   0.372797E-24   0.111600E-25  -0.850051E-26   0.372811E-24   0.111106E-25  -0.848622E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  41   0.726641E+01   0.343006E-24   0.100730E-25  -0.774941E-26   0.343003E-24   0.100732E-25  -0.774909E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  42   0.108996E+02   0.332627E-24   0.977033E-26  -0.746195E-26   0.332685E-24   0.971028E-26  -0.751780E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  43   0.163494E+02   0.329238E-24   0.961554E-26  -0.738388E-26   0.329207E-24   0.967039E-26  -0.738473E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  44   0.245241E+02   0.329365E-24   0.961926E-26  -0.738674E-26   0.329334E-24   0.961249E-26  -0.733307E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  45   0.367862E+02   0.331664E-24   0.962862E-26  -0.743830E-26   0.331612E-24   0.967899E-26  -0.738378E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  46   0.551793E+02   0.336831E-24   0.971995E-26  -0.755419E-26   0.336833E-24   0.976128E-26  -0.751090E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  47   0.562829E+02   0.337157E-24   0.976619E-26  -0.752244E-26   0.337137E-24   0.978344E-26  -0.750500E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  48   0.574085E+02   0.337483E-24   0.979320E-26  -0.751295E-26   0.337480E-24   0.979339E-26  -0.751263E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  49   0.585567E+02   0.337809E-24   0.980048E-26  -0.752228E-26   0.337804E-24   0.980280E-26  -0.751985E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
