# Thermal sigma v for some different final states
# The final states are:
# Case 1: PDG = 12
# Case 2: PDG = 15
# Case 3: PDG =  6
# Case 4: PDG = 24
#  i     Mass [GeV]      sigvmid_1     sigvperr_1     sigvmerr_1      sigvmid_2     sigvperr_2     sigvmerr_2      sigvmid_3     sigvperr_3     sigvmerr_3      sigvmid_4     sigvperr_4     sigvmerr_4, sigv in units of cm^3/s^1
   1   0.100000E-02   0.299262E-24   0.916572E-26  -0.700858E-26   0.299271E-24   0.911223E-26  -0.701025E-26   0.299281E-24   0.911432E-26  -0.700880E-26   0.299242E-24   0.915144E-26  -0.696009E-26
   2   0.150000E-02   0.294766E-24   0.906773E-26  -0.695179E-26   0.294781E-24   0.904120E-26  -0.697770E-26   0.294769E-24   0.904085E-26  -0.697743E-26   0.294758E-24   0.910421E-26  -0.692826E-26
   3   0.225000E-02   0.265465E-24   0.826099E-26  -0.630618E-26   0.265512E-24   0.825560E-26  -0.635419E-26   0.265456E-24   0.830711E-26  -0.630592E-26   0.265452E-24   0.830699E-26  -0.630583E-26
   4   0.337500E-02   0.235568E-24   0.724986E-26  -0.559458E-26   0.235531E-24   0.729203E-26  -0.551984E-26   0.235547E-24   0.724599E-26  -0.555518E-26   0.235559E-24   0.726591E-26  -0.557587E-26
   5   0.506250E-02   0.226315E-24   0.688436E-26  -0.526426E-26   0.226311E-24   0.688291E-26  -0.526251E-26   0.226344E-24   0.683338E-26  -0.531990E-26   0.226329E-24   0.686335E-26  -0.528198E-26
   6   0.759375E-02   0.229781E-24   0.695144E-26  -0.530520E-26   0.229782E-24   0.693124E-26  -0.532443E-26   0.229802E-24   0.691202E-26  -0.530570E-26   0.229805E-24   0.691211E-26  -0.530577E-26
   7   0.113906E-01   0.238689E-24   0.713768E-26  -0.551088E-26   0.238680E-24   0.717446E-26  -0.547252E-26   0.238707E-24   0.713682E-26  -0.551263E-26   0.238697E-24   0.713651E-26  -0.551239E-26
   8   0.170859E-01   0.249952E-24   0.749282E-26  -0.568963E-26   0.249972E-24   0.747030E-26  -0.573141E-26   0.249970E-24   0.747026E-26  -0.573138E-26   0.249969E-24   0.747021E-26  -0.573135E-26
   9   0.256289E-01   0.262277E-24   0.779233E-26  -0.601356E-26   0.262274E-24   0.779376E-26  -0.601203E-26   0.262272E-24   0.779370E-26  -0.601199E-26   0.262270E-24   0.779365E-26  -0.601195E-26
  10   0.384434E-01   0.275001E-24   0.819726E-26  -0.625828E-26   0.275025E-24   0.814998E-26  -0.625884E-26   0.275044E-24   0.816842E-26  -0.630933E-26   0.274991E-24   0.819538E-26  -0.625957E-26
  11   0.576650E-01   0.288215E-24   0.852923E-26  -0.657009E-26   0.288224E-24   0.853611E-26  -0.656395E-26   0.288190E-24   0.854008E-26  -0.655842E-26   0.288209E-24   0.853567E-26  -0.656362E-26
  12   0.864976E-01   0.301508E-24   0.893300E-26  -0.686316E-26   0.301526E-24   0.887744E-26  -0.686690E-26   0.301497E-24   0.892922E-26  -0.686623E-26   0.301512E-24   0.892967E-26  -0.686659E-26
  13   0.129746E+00   0.315158E-24   0.928422E-26  -0.717215E-26   0.315132E-24   0.930415E-26  -0.712459E-26   0.315127E-24   0.930400E-26  -0.712447E-26   0.315122E-24   0.935876E-26  -0.712435E-26
  14   0.194620E+00   0.328907E-24   0.968818E-26  -0.745757E-26   0.328880E-24   0.965274E-26  -0.743540E-26   0.328872E-24   0.971548E-26  -0.742985E-26   0.328872E-24   0.970982E-26  -0.743523E-26
