   M                        oh2
   10.000000000000000        7.7146304998202043E-008
   19.899999778717756        7.3363966731825048E-008
   29.799999557435513        7.2092281871971723E-008
   39.699999336153269        7.1183648519855676E-008
   49.599999114871025        7.0326031490285431E-008
   59.500000737607479        6.9467201406885720E-008
   69.399998672306538        6.8607430335095404E-008
   79.300000295042992        6.7758921738272192E-008
   89.199998229742050        6.6932190447763395E-008
   99.100003540515900        6.6135537071615609E-008
   109.00000147521496        6.5374223567795846E-008
   118.89999940991402        6.4651213142142696E-008
   128.79999734461308        6.3967693392827628E-008
   138.69999527931213        6.3323260207686186E-008
   148.60000059008598        6.2718111587584359E-008
   158.50000590085983        6.2150297623201701E-008
   168.39999645948410        6.1617620822664618E-008
   178.30000177025795        6.1118911617063450E-008
   188.20000708103180        6.0652669516613611E-008
   198.09999763965607        6.0215265860466025E-008
   208.00000295042992        5.9806486365894095E-008
   217.89999350905418        5.9423370792431762E-008
   227.79999881982803        5.9065046121619354E-008
   237.70000413060188        5.8728864502309655E-008
   247.59999468922615        5.8414115535277200E-008
   257.50000000000000        5.8118347298713170E-008
   267.39999055862427        5.7841426101944940E-008
   277.30001062154770        5.7580987450474571E-008
   287.20000118017197        5.7336344455851588E-008
   297.09999173879623        5.7106568574924782E-008
   307.00001180171967        5.6889534208736042E-008
   316.90000236034393        5.6685972342621882E-008
   326.79999291896820        5.6493797548267639E-008
   336.70001298189163        5.6312040895081428E-008
   346.60000354051590        5.6141308069805492E-008
   356.49999409914017        5.5979870592246714E-008
   366.40001416206360        5.5826680017573066E-008
   376.30000472068787        5.5682596880299544E-008
   386.19999527931213        5.5545840814522739E-008
   396.09998583793640        5.5415712584005804E-008
   406.00000590085983        5.5293071073749296E-008
   415.89999645948410        5.5176851086193438E-008
   425.79998701810837        5.5066004651666128E-008
   435.70000708103180        5.4960663623652968E-008
   445.59999763965607        5.4861169280731529E-008
   455.49998819828033        5.4766239785459246E-008
   465.40000826120377        5.4675477430543910E-008
   475.29999881982803        5.4589387947665181E-008
   485.19998937845230        5.4507177528683767E-008
   495.10000944137573        5.4429242545082816E-008
   505.00000000000000        5.4354317580246080E-008
   514.89999055862427        5.4282900153446257E-008
   524.79998111724854        5.4214582542367821E-008
   534.69997167587280        5.4149863023948141E-008
   544.60002124309540        5.4087298768076164E-008
   554.50001180171967        5.4027717896390813E-008
   564.40000236034393        5.3970613012359607E-008
   574.29999291896820        5.3915997935789546E-008
   584.19998347759247        5.3863723503800155E-008
   594.09997403621674        5.3813294979374686E-008
   604.00002360343933        5.3765267702778625E-008
   613.90001416206360        5.3718775673009437E-008
   623.80000472068787        5.3674524947948039E-008
   633.69999527931213        5.3631773435830689E-008
   643.59998583793640        5.3590901905155506E-008
   653.49997639656067        5.3551516624632244E-008
   663.40002596378326        5.3513383176720842E-008
   673.30001652240753        5.3476791220902202E-008
   683.20000708103180        5.3441798876163421E-008
   693.09999763965607        5.3407851526329994E-008
   702.99998819828033        5.3375284792487795E-008
   712.89997875690460        5.3343850665801205E-008
   722.80002832412720        5.3313315445451067E-008
   732.70001888275146        5.3283988558997414E-008
   742.60000944137573        5.3255873216887961E-008
   752.50000000000000        5.3228641314443367E-008
   762.39999055862427        5.3202206497164825E-008
   772.29998111724854        5.3176764912642297E-008
   782.19997167587280        5.3152076691098089E-008
   792.10002124309540        5.3128232829900785E-008
   802.00001180171967        5.3105187284290477E-008
   811.90000236034393        5.3083007847138216E-008
   821.79999291896820        5.3061436764125582E-008
   831.69998347759247        5.3040444117310132E-008
   841.59997403621674        5.3020283072977363E-008
   851.50002360343933        5.3000693049223338E-008
   861.40001416206360        5.2981676447427546E-008
   871.30000472068787        5.2963291430326108E-008
   881.19999527931213        5.2945526506142107E-008
   891.09998583793640        5.2928235416435524E-008
   900.99997639656067        5.2911376766708956E-008
   910.90002596378326        5.2895044164289272E-008
   920.80001652240753        5.2879269527627771E-008
   930.70000708103180        5.2863915836387807E-008
   940.59999763965607        5.2848927577958279E-008
   950.49998819828033        5.2834434779993441E-008
   960.39997875690460        5.2820423979907990E-008
   970.30002832412720        5.2806697917563174E-008
   980.20001888275146        5.2793340002410574E-008
   990.10000944137573        5.2780372049767837E-008
   1000.0000000000000        5.2767768018377609E-008
