# Made with DarkSUSY version pu-crfix2 (rev 1204)                                                  
#..Rstore...... ..zstore...... .pw. .is.
 0.80000000E+01 0.00000000E+00    2    1
#..set..of..diffusion..parameters..
 0.40000000E+01 0.30000000E+02 0.10000000E+00 0.10000000E+01 0.00000000E+00 0.10000000E+02 0.10000000E-01 0.25000000E+02 0.25000000E+02 0.40000000E+01 0.60000000E+00 0.00000000E+00 0.10000000E+01 0.20000000E+01
#..log(tp). ...table(i)...
 -.23025851E+01 0.30315767E+01
 -.21874558E+01 0.29429423E+01
 -.20723266E+01 0.28558461E+01
 -.19571973E+01 0.27707085E+01
 -.18420681E+01 0.26879001E+01
 -.17269388E+01 0.26077438E+01
 -.16118096E+01 0.25305165E+01
 -.14966803E+01 0.24564508E+01
 -.13815511E+01 0.23857371E+01
 -.12664218E+01 0.23185257E+01
 -.11512925E+01 0.22549290E+01
 -.10361633E+01 0.21950234E+01
 -.92103404E+00 0.21388511E+01
 -.80590478E+00 0.20864226E+01
 -.69077553E+00 0.20377183E+01
 -.57564627E+00 0.19926905E+01
 -.46051702E+00 0.19512658E+01
 -.34538776E+00 0.19133468E+01
 -.23025851E+00 0.18788144E+01
 -.11512925E+00 0.18475308E+01
 0.44408921E-15 0.18193413E+01
 0.11512925E+00 0.17940775E+01
 0.23025851E+00 0.17715600E+01
 0.34538776E+00 0.17088889E+01
 0.46051702E+00 0.16445027E+01
 0.57564627E+00 0.15821326E+01
 0.69077553E+00 0.15216110E+01
 0.80590478E+00 0.14627823E+01
 0.92103404E+00 0.14055082E+01
 0.10361633E+01 0.13496706E+01
 0.11512925E+01 0.12951735E+01
 0.12664218E+01 0.12419432E+01
 0.13815511E+01 0.11899279E+01
 0.14966803E+01 0.11390961E+01
 0.16118096E+01 0.10894339E+01
 0.17269388E+01 0.10409426E+01
 0.18420681E+01 0.99363541E+00
 0.19571973E+01 0.94753452E+00
 0.20723266E+01 0.90266797E+00
 0.21874558E+01 0.85906687E+00
 0.23025851E+01 0.81676297E+00
 0.24177143E+01 0.77578648E+00
 0.25328436E+01 0.73616444E+00
 0.26479729E+01 0.69791934E+00
 0.27631021E+01 0.66106824E+00
 0.28782314E+01 0.62562211E+00
 0.29933606E+01 0.59158559E+00
 0.31084899E+01 0.55895693E+00
 0.32236191E+01 0.52772814E+00
 0.33387484E+01 0.49788532E+00
 0.34538776E+01 0.46940911E+00
 0.35690069E+01 0.44227521E+00
 0.36841361E+01 0.41645493E+00
 0.37992654E+01 0.39191579E+00
 0.39143947E+01 0.36862212E+00
 0.40295239E+01 0.34653564E+00
 0.41446532E+01 0.32561599E+00
 0.42597824E+01 0.30582124E+00
 0.43749117E+01 0.28710839E+00
 0.44900409E+01 0.26943377E+00
 0.46051702E+01 0.25275343E+00
 0.47202994E+01 0.23702347E+00
 0.48354287E+01 0.22220033E+00
 0.49505579E+01 0.20824104E+00
 0.50656872E+01 0.19510342E+00
 0.51808165E+01 0.18274627E+00
 0.52959457E+01 0.17112951E+00
 0.54110750E+01 0.16021427E+00
 0.55262042E+01 0.14996299E+00
 0.56413335E+01 0.14033948E+00
 0.57564627E+01 0.13130898E+00
 0.58715920E+01 0.12283814E+00
 0.59867212E+01 0.11489508E+00
 0.61018505E+01 0.10744935E+00
 0.62169798E+01 0.10047194E+00
 0.63321090E+01 0.93935253E-01
 0.64472383E+01 0.87813065E-01
 0.65623675E+01 0.82080502E-01
 0.66774968E+01 0.76713994E-01
 0.67926260E+01 0.71691234E-01
 0.69077553E+01 0.66991135E-01
 0.70228845E+01 0.62593779E-01
 0.71380138E+01 0.58480372E-01
 0.72531430E+01 0.54633191E-01
 0.73682723E+01 0.51035540E-01
 0.74834016E+01 0.47671700E-01
 0.75985308E+01 0.44526880E-01
 0.77136601E+01 0.41587171E-01
 0.78287893E+01 0.38839502E-01
 0.79439186E+01 0.36271594E-01
 0.80590478E+01 0.33871919E-01
 0.81741771E+01 0.31629657E-01
 0.82893063E+01 0.29534657E-01
 0.84044356E+01 0.27577400E-01
 0.85195648E+01 0.25748964E-01
 0.86346941E+01 0.24040984E-01
 0.87498234E+01 0.22445626E-01
 0.88649526E+01 0.20955552E-01
 0.89800819E+01 0.19563888E-01
 0.90952111E+01 0.18264203E-01
 0.92103404E+01 0.17050474E-01
