# Made with DarkSUSY version je-new-halo (rev 1579)                                                
#..Rstore...... ..zstore...... .pw. .is.
 0.80000000E+01 0.00000000E+00    1    1
#..set..of..diffusion..parameters..
 0.40000000E+01 0.30000000E+02 0.10000000E+00 0.10000000E+01 0.00000000E+00 0.10000000E+02 0.10000000E-01 0.25000000E+02 0.25000000E+02 0.40000000E+01 0.60000000E+00 0.00000000E+00 0.10000000E+01 0.20000000E+01
#..log(tp). ...table(i)...
 -.23025851E+01 0.32706548E+01
 -.21874558E+01 0.32131717E+01
 -.20723266E+01 0.31546743E+01
 -.19571973E+01 0.30956469E+01
 -.18420681E+01 0.30365523E+01
 -.17269388E+01 0.29778282E+01
 -.16118096E+01 0.29198850E+01
 -.14966803E+01 0.28631034E+01
 -.13815511E+01 0.28078319E+01
 -.12664218E+01 0.27543854E+01
 -.11512925E+01 0.27030434E+01
 -.10361633E+01 0.26540488E+01
 -.92103404E+00 0.26076072E+01
 -.80590478E+00 0.25638858E+01
 -.69077553E+00 0.25230138E+01
 -.57564627E+00 0.24850819E+01
 -.46051702E+00 0.24501438E+01
 -.34538776E+00 0.24182164E+01
 -.23025851E+00 0.23892819E+01
 -.11512925E+00 0.23632901E+01
 0.44408921E-15 0.23401607E+01
 0.11512925E+00 0.23197863E+01
 0.23025851E+00 0.23020364E+01
 0.34538776E+00 0.22867611E+01
 0.46051702E+00 0.22737949E+01
 0.57564627E+00 0.22629617E+01
 0.69077553E+00 0.22540780E+01
 0.80590478E+00 0.22469578E+01
 0.92103404E+00 0.22414161E+01
 0.10361633E+01 0.22372721E+01
 0.11512925E+01 0.22343522E+01
 0.12664218E+01 0.21543441E+01
 0.13815511E+01 0.20727738E+01
 0.14966803E+01 0.19915736E+01
 0.16118096E+01 0.19109371E+01
 0.17269388E+01 0.18310638E+01
 0.18420681E+01 0.17521552E+01
 0.19571973E+01 0.16744104E+01
 0.20723266E+01 0.15980223E+01
 0.21874558E+01 0.15231735E+01
 0.23025851E+01 0.14500330E+01
 0.24177143E+01 0.13787538E+01
 0.25328436E+01 0.13094706E+01
 0.26479729E+01 0.12422986E+01
 0.27631021E+01 0.11773329E+01
 0.28782314E+01 0.11146483E+01
 0.29933606E+01 0.10543000E+01
 0.31084899E+01 0.99632412E+00
 0.32236191E+01 0.94073923E+00
 0.33387484E+01 0.88754750E+00
 0.34538776E+01 0.83673639E+00
 0.35690069E+01 0.78828024E+00
 0.36841361E+01 0.74214193E+00
 0.37992654E+01 0.69827454E+00
 0.39143947E+01 0.65662286E+00
 0.40295239E+01 0.61712493E+00
 0.41446532E+01 0.57971335E+00
 0.42597824E+01 0.54431654E+00
 0.43749117E+01 0.51085988E+00
 0.44900409E+01 0.47926669E+00
 0.46051702E+01 0.44945911E+00
 0.47202994E+01 0.42135886E+00
 0.48354287E+01 0.39488789E+00
 0.49505579E+01 0.36996894E+00
 0.50656872E+01 0.34652599E+00
 0.51808165E+01 0.32448464E+00
 0.52959457E+01 0.30377242E+00
 0.54110750E+01 0.28431900E+00
 0.55262042E+01 0.26605644E+00
 0.56413335E+01 0.24891924E+00
 0.57564627E+01 0.23284449E+00
 0.58715920E+01 0.21777191E+00
 0.59867212E+01 0.20364386E+00
 0.61018505E+01 0.19040533E+00
 0.62169798E+01 0.17800397E+00
 0.63321090E+01 0.16638999E+00
 0.64472383E+01 0.15551612E+00
 0.65623675E+01 0.14533758E+00
 0.66774968E+01 0.13581194E+00
 0.67926260E+01 0.12689912E+00
 0.69077553E+01 0.11856122E+00
 0.70228845E+01 0.11076251E+00
 0.71380138E+01 0.10346926E+00
 0.72531430E+01 0.96649716E-01
 0.73682723E+01 0.90273988E-01
 0.74834016E+01 0.84313943E-01
 0.75985308E+01 0.78743132E-01
 0.77136601E+01 0.73536703E-01
 0.78287893E+01 0.68671312E-01
 0.79439186E+01 0.64125046E-01
 0.80590478E+01 0.59877343E-01
 0.81741771E+01 0.55908916E-01
 0.82893063E+01 0.52201681E-01
 0.84044356E+01 0.48738687E-01
 0.85195648E+01 0.45504053E-01
 0.86346941E+01 0.42482901E-01
 0.87498234E+01 0.39661299E-01
 0.88649526E+01 0.37026202E-01
 0.89800819E+01 0.34565402E-01
 0.90952111E+01 0.32267472E-01
 0.92103404E+01 0.30121721E-01
