# Thermal sigma v for some different final states
# The final states are:
# Case 1: PDG = 12
# Case 2: PDG = 15
# Case 3: PDG =  6
# Case 4: PDG = 24
#  i     Mass [GeV]      sigvmid_1     sigvperr_1     sigvmerr_1      sigvmid_2     sigvperr_2     sigvmerr_2      sigvmid_3     sigvperr_3     sigvmerr_3      sigvmid_4     sigvperr_4     sigvmerr_4, sigv in units of cm^3/s^1
   1   0.100000E+00   0.262767E-24   0.709857E-26  -0.667645E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
   2   0.110000E+00   0.265729E-24   0.719756E-26  -0.677770E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
   3   0.121000E+00   0.268724E-24   0.721270E-26  -0.682780E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
   4   0.133100E+00   0.271753E-24   0.731231E-26  -0.695342E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
   5   0.146410E+00   0.274762E-24   0.739941E-26  -0.702463E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
   6   0.161051E+00   0.277752E-24   0.745705E-26  -0.705524E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
   7   0.177156E+00   0.280720E-24   0.753055E-26  -0.713651E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
   8   0.194872E+00   0.283609E-24   0.761432E-26  -0.720403E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
   9   0.214359E+00   0.286474E-24   0.766500E-26  -0.732404E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  10   0.235795E+00   0.289143E-24   0.776289E-26  -0.734460E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  11   0.259374E+00   0.291669E-24   0.775115E-26  -0.745891E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  12   0.285312E+00   0.293818E-24   0.787332E-26  -0.747772E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  13   0.313843E+00   0.295584E-24   0.793580E-26  -0.750819E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  14   0.345227E+00   0.296728E-24   0.793938E-26  -0.758621E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  15   0.379750E+00   0.297130E-24   0.794792E-26  -0.759857E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  16   0.417725E+00   0.296785E-24   0.793432E-26  -0.759394E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  17   0.459497E+00   0.295755E-24   0.798973E-26  -0.751461E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  18   0.505447E+00   0.294386E-24   0.787840E-26  -0.757698E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  19   0.555992E+00   0.292685E-24   0.787556E-26  -0.748902E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  20   0.611591E+00   0.290881E-24   0.785378E-26  -0.739483E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  21   0.672750E+00   0.289087E-24   0.780536E-26  -0.734924E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  22   0.740025E+00   0.287416E-24   0.769186E-26  -0.739758E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  23   0.814027E+00   0.285755E-24   0.765725E-26  -0.727251E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  24   0.895430E+00   0.284323E-24   0.760535E-26  -0.727105E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  25   0.984973E+00   0.283007E-24   0.759607E-26  -0.719071E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  26   0.108347E+01   0.281916E-24   0.751769E-26  -0.716298E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  27   0.119182E+01   0.280937E-24   0.751165E-26  -0.716559E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  28   0.121565E+01   0.280720E-24   0.753055E-26  -0.713651E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  29   0.123997E+01   0.280557E-24   0.753236E-26  -0.712650E-26   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  30   0.126477E+01   0.280394E-24   0.747713E-26  -0.712432E-26   0.860414E-18   0.405876E-19  -0.381710E-19   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  31   0.129006E+01   0.280178E-24   0.752013E-26  -0.711882E-26   0.281925E-18   0.129773E-19  -0.121619E-19   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  32   0.131586E+01   0.280015E-24   0.751782E-26  -0.711274E-26   0.946532E-19   0.421894E-20  -0.392947E-20   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  33   0.134218E+01   0.279853E-24   0.745859E-26  -0.711448E-26   0.325746E-19   0.139582E-20  -0.132052E-20   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  34   0.136902E+01   0.279637E-24   0.749330E-26  -0.711680E-26   0.114823E-19   0.480403E-21  -0.450025E-21   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
  35   0.139640E+01   0.279475E-24   0.745465E-26  -0.709901E-26   0.414878E-20   0.167737E-21  -0.157036E-21   0.100000E+01   0.000000E+00   0.000000E+00   0.100000E+01   0.000000E+00   0.000000E+00
