# Made with DarkSUSY version trunk (rev 1713)                                            
#..Rstore...... ..zstore...... .pw. .is.
 0.80000000E+01 0.00000000E+00    1    1
#..set..of..diffusion..parameters..
 0.40000000E+01 0.30000000E+02 0.10000000E+00 0.10000000E+01 0.00000000E+00 0.10000000E+02 0.10000000E-01 0.25000000E+02 0.25000000E+02 0.40000000E+01 0.60000000E+00 0.00000000E+00 0.10000000E+01 0.20000000E+01
#..log(tp). ...table(i)...
 -.23025851E+01 0.33512143E+01
 -.21874558E+01 0.32571807E+01
 -.20723266E+01 0.31643775E+01
 -.19571973E+01 0.30733067E+01
 -.18420681E+01 0.29844159E+01
 -.17269388E+01 0.28980988E+01
 -.16118096E+01 0.28146971E+01
 -.14966803E+01 0.27345019E+01
 -.13815511E+01 0.26577558E+01
 -.12664218E+01 0.25846553E+01
 -.11512925E+01 0.25153524E+01
 -.10361633E+01 0.24499576E+01
 -.92103404E+00 0.23885411E+01
 -.80590478E+00 0.23311359E+01
 -.69077553E+00 0.22777395E+01
 -.57564627E+00 0.22283164E+01
 -.46051702E+00 0.21828005E+01
 -.34538776E+00 0.21410974E+01
 -.23025851E+00 0.21030871E+01
 -.11512925E+00 0.20686269E+01
 0.44408921E-15 0.20375544E+01
 0.11512925E+00 0.20096904E+01
 0.23025851E+00 0.19848425E+01
 0.34538776E+00 0.19173925E+01
 0.46051702E+00 0.18479635E+01
 0.57564627E+00 0.17805228E+01
 0.69077553E+00 0.17149006E+01
 0.80590478E+00 0.16509383E+01
 0.92103404E+00 0.15884944E+01
 0.10361633E+01 0.15274488E+01
 0.11512925E+01 0.14677045E+01
 0.12664218E+01 0.14091892E+01
 0.13815511E+01 0.13518546E+01
 0.14966803E+01 0.12956746E+01
 0.16118096E+01 0.12406431E+01
 0.17269388E+01 0.11867713E+01
 0.18420681E+01 0.11340838E+01
 0.19571973E+01 0.10826155E+01
 0.20723266E+01 0.10324082E+01
 0.21874558E+01 0.98350726E+00
 0.23025851E+01 0.93595874E+00
 0.24177143E+01 0.88980707E+00
 0.25328436E+01 0.84509288E+00
 0.26479729E+01 0.80185153E+00
 0.27631021E+01 0.76011185E+00
 0.28782314E+01 0.71989549E+00
 0.29933606E+01 0.68121642E+00
 0.31084899E+01 0.64408089E+00
 0.32236191E+01 0.60848757E+00
 0.33387484E+01 0.57442783E+00
 0.34538776E+01 0.54188628E+00
 0.35690069E+01 0.51084136E+00
 0.36841361E+01 0.48126594E+00
 0.37992654E+01 0.45312804E+00
 0.39143947E+01 0.42639153E+00
 0.40295239E+01 0.40101680E+00
 0.41446532E+01 0.37696140E+00
 0.42597824E+01 0.35418068E+00
 0.43749117E+01 0.33262834E+00
 0.44900409E+01 0.31225696E+00
 0.46051702E+01 0.29301846E+00
 0.47202994E+01 0.27486450E+00
 0.48354287E+01 0.25774687E+00
 0.49505579E+01 0.24161778E+00
 0.50656872E+01 0.22643013E+00
 0.51808165E+01 0.21213775E+00
 0.52959457E+01 0.19869554E+00
 0.54110750E+01 0.18605966E+00
 0.55262042E+01 0.17418766E+00
 0.56413335E+01 0.16303850E+00
 0.57564627E+01 0.15257269E+00
 0.58715920E+01 0.14275228E+00
 0.59867212E+01 0.13354092E+00
 0.61018505E+01 0.12490383E+00
 0.62169798E+01 0.11680783E+00
 0.63321090E+01 0.10922132E+00
 0.64472383E+01 0.10211422E+00
 0.65623675E+01 0.95457972E-01
 0.66774968E+01 0.89225496E-01
 0.67926260E+01 0.83391130E-01
 0.69077553E+01 0.77930594E-01
 0.70228845E+01 0.72820935E-01
 0.71380138E+01 0.68040481E-01
 0.72531430E+01 0.63568779E-01
 0.73682723E+01 0.59386550E-01
 0.74834016E+01 0.55475631E-01
 0.75985308E+01 0.51818921E-01
 0.77136601E+01 0.48400335E-01
 0.78287893E+01 0.45204744E-01
 0.79439186E+01 0.42217933E-01
 0.80590478E+01 0.39426549E-01
 0.81741771E+01 0.36818055E-01
 0.82893063E+01 0.34380686E-01
 0.84044356E+01 0.32103406E-01
 0.85195648E+01 0.29975864E-01
 0.86346941E+01 0.27988359E-01
 0.87498234E+01 0.26131797E-01
 0.88649526E+01 0.24397660E-01
 0.89800819E+01 0.22777970E-01
 0.90952111E+01 0.21265256E-01
 0.92103404E+01 0.19852524E-01
