# Made with DarkSUSY version pu-crfix2 (rev 1204)                                                  
#..Rstore...... ..zstore...... .pw. .is.
 0.80000000E+01 0.00000000E+00    2    1
#..set..of..diffusion..parameters..
 0.40000000E+01 0.30000000E+02 0.10000000E+00 0.10000000E+01 0.00000000E+00 0.10000000E+02 0.10000000E-01 0.25000000E+02 0.25000000E+02 0.40000000E+01 0.60000000E+00 0.00000000E+00 0.10000000E+01 0.20000000E+01
#..log(tp). ...table(i)...
 -.23025851E+01 0.68516490E+01
 -.21874558E+01 0.67154406E+01
 -.20723266E+01 0.65753205E+01
 -.19571973E+01 0.64327841E+01
 -.18420681E+01 0.62892237E+01
 -.17269388E+01 0.61459216E+01
 -.16118096E+01 0.60040451E+01
 -.14966803E+01 0.58646442E+01
 -.13815511E+01 0.57286502E+01
 -.12664218E+01 0.55968771E+01
 -.11512925E+01 0.54700225E+01
 -.10361633E+01 0.53486708E+01
 -.92103404E+00 0.52332965E+01
 -.80590478E+00 0.51242684E+01
 -.69077553E+00 0.50218541E+01
 -.57564627E+00 0.49262255E+01
 -.46051702E+00 0.48374645E+01
 -.34538776E+00 0.47555693E+01
 -.23025851E+00 0.46804610E+01
 -.11512925E+00 0.46119915E+01
 0.44408921E-15 0.45499512E+01
 0.11512925E+00 0.44940773E+01
 0.23025851E+00 0.44440627E+01
 0.34538776E+00 0.43343488E+01
 0.46051702E+00 0.42195677E+01
 0.57564627E+00 0.41053789E+01
 0.69077553E+00 0.39916328E+01
 0.80590478E+00 0.38781736E+01
 0.92103404E+00 0.37648579E+01
 0.10361633E+01 0.36515696E+01
 0.11512925E+01 0.35382308E+01
 0.12664218E+01 0.34248095E+01
 0.13815511E+01 0.33113227E+01
 0.14966803E+01 0.31978377E+01
 0.16118096E+01 0.30844689E+01
 0.17269388E+01 0.29713735E+01
 0.18420681E+01 0.28587451E+01
 0.19571973E+01 0.27468058E+01
 0.20723266E+01 0.26357986E+01
 0.21874558E+01 0.25259787E+01
 0.23025851E+01 0.24176057E+01
 0.24177143E+01 0.23109365E+01
 0.25328436E+01 0.22062187E+01
 0.26479729E+01 0.21036852E+01
 0.27631021E+01 0.20035500E+01
 0.28782314E+01 0.19060051E+01
 0.29933606E+01 0.18112180E+01
 0.31084899E+01 0.17193304E+01
 0.32236191E+01 0.16304584E+01
 0.33387484E+01 0.15446919E+01
 0.34538776E+01 0.14620960E+01
 0.35690069E+01 0.13827120E+01
 0.36841361E+01 0.13065591E+01
 0.37992654E+01 0.12336362E+01
 0.39143947E+01 0.11639241E+01
 0.40295239E+01 0.10973869E+01
 0.41446532E+01 0.10339748E+01
 0.42597824E+01 0.97362550E+00
 0.43749117E+01 0.91626650E+00
 0.44900409E+01 0.86181657E+00
 0.46051702E+01 0.81018761E+00
 0.47202994E+01 0.76128609E+00
 0.48354287E+01 0.71501445E+00
 0.49505579E+01 0.67127232E+00
 0.50656872E+01 0.62995763E+00
 0.51808165E+01 0.59096754E+00
 0.52959457E+01 0.55419929E+00
 0.54110750E+01 0.51955091E+00
 0.55262042E+01 0.48692178E+00
 0.56413335E+01 0.45621321E+00
 0.57564627E+01 0.42732875E+00
 0.58715920E+01 0.40017462E+00
 0.59867212E+01 0.37465991E+00
 0.61018505E+01 0.35069677E+00
 0.62169798E+01 0.32820061E+00
 0.63321090E+01 0.30709013E+00
 0.64472383E+01 0.28728742E+00
 0.65623675E+01 0.26871798E+00
 0.66774968E+01 0.25131067E+00
 0.67926260E+01 0.23499770E+00
 0.69077553E+01 0.21971462E+00
 0.70228845E+01 0.20540015E+00
 0.71380138E+01 0.19199621E+00
 0.72531430E+01 0.17944774E+00
 0.73682723E+01 0.16770264E+00
 0.74834016E+01 0.15671166E+00
 0.75985308E+01 0.14642827E+00
 0.77136601E+01 0.13680858E+00
 0.78287893E+01 0.12781119E+00
 0.79439186E+01 0.11939710E+00
 0.80590478E+01 0.11152958E+00
 0.81741771E+01 0.10417410E+00
 0.82893063E+01 0.97298144E-01
 0.84044356E+01 0.90871183E-01
 0.85195648E+01 0.84864525E-01
 0.86346941E+01 0.79251234E-01
 0.87498234E+01 0.74006023E-01
 0.88649526E+01 0.69105175E-01
 0.89800819E+01 0.64526441E-01
 0.90952111E+01 0.60248966E-01
 0.92103404E+01 0.56253203E-01
