# Made with DarkSUSY version pu-crfix2 (rev 1204)                                                  
#..Rstore...... ..zstore...... .nd. .is.
 0.80000000E+01 0.00000000E+00    2    1
#..set..of..diffusion..parameters..
 0.40000000E+01 0.30000000E+02 0.10000000E+00 0.10000000E+01 0.00000000E+00 0.10000000E+02 0.10000000E-01 0.25000000E+02 0.25000000E+02 0.40000000E+01 0.60000000E+00 0.00000000E+00 0.10000000E+01 0.20000000E+01
#..log(tp). ...table(i)...
 -.23025851E+01 0.60431638E+01
 -.21874558E+01 0.59192976E+01
 -.20723266E+01 0.57924787E+01
 -.19571973E+01 0.56639768E+01
 -.18420681E+01 0.55349733E+01
 -.17269388E+01 0.54065549E+01
 -.16118096E+01 0.52797099E+01
 -.14966803E+01 0.51553259E+01
 -.13815511E+01 0.50341893E+01
 -.12664218E+01 0.49169855E+01
 -.11512925E+01 0.48043007E+01
 -.10361633E+01 0.46966242E+01
 -.92103404E+00 0.45943507E+01
 -.80590478E+00 0.44977848E+01
 -.69077553E+00 0.44071441E+01
 -.57564627E+00 0.43225640E+01
 -.46051702E+00 0.42441028E+01
 -.34538776E+00 0.41717467E+01
 -.23025851E+00 0.41054160E+01
 -.11512925E+00 0.40449715E+01
 0.44408921E-15 0.39902208E+01
 0.11512925E+00 0.39409264E+01
 0.23025851E+00 0.38968125E+01
 0.34538776E+00 0.37989394E+01
 0.46051702E+00 0.36967094E+01
 0.57564627E+00 0.35952035E+01
 0.69077553E+00 0.34942706E+01
 0.80590478E+00 0.33937569E+01
 0.92103404E+00 0.32935218E+01
 0.10361633E+01 0.31934501E+01
 0.11512925E+01 0.30934617E+01
 0.12664218E+01 0.29935177E+01
 0.13815511E+01 0.28936233E+01
 0.14966803E+01 0.27938282E+01
 0.16118096E+01 0.26942239E+01
 0.17269388E+01 0.25949398E+01
 0.18420681E+01 0.24961379E+01
 0.19571973E+01 0.23980053E+01
 0.20723266E+01 0.23007476E+01
 0.21874558E+01 0.22045814E+01
 0.23025851E+01 0.21097279E+01
 0.24177143E+01 0.20164059E+01
 0.25328436E+01 0.19248266E+01
 0.26479729E+01 0.18351886E+01
 0.27631021E+01 0.17476747E+01
 0.28782314E+01 0.16624484E+01
 0.29933606E+01 0.15796523E+01
 0.31084899E+01 0.14994073E+01
 0.32236191E+01 0.14218113E+01
 0.33387484E+01 0.13469405E+01
 0.34538776E+01 0.12748493E+01
 0.35690069E+01 0.12055718E+01
 0.36841361E+01 0.11391228E+01
 0.37992654E+01 0.10754999E+01
 0.39143947E+01 0.10146848E+01
 0.40295239E+01 0.95664516E+00
 0.41446532E+01 0.90133649E+00
 0.42597824E+01 0.84870349E+00
 0.43749117E+01 0.79868207E+00
 0.44900409E+01 0.75120073E+00
 0.46051702E+01 0.70618217E+00
 0.47202994E+01 0.66354403E+00
 0.48354287E+01 0.62320094E+00
 0.49505579E+01 0.58506501E+00
 0.50656872E+01 0.54904687E+00
 0.51808165E+01 0.51505663E+00
 0.52959457E+01 0.48300457E+00
 0.54110750E+01 0.45280128E+00
 0.55262042E+01 0.42435902E+00
 0.56413335E+01 0.39759159E+00
 0.57564627E+01 0.37241472E+00
 0.58715920E+01 0.34874654E+00
 0.59867212E+01 0.32650797E+00
 0.61018505E+01 0.30562206E+00
 0.62169798E+01 0.28601502E+00
 0.63321090E+01 0.26761607E+00
 0.64472383E+01 0.25035720E+00
 0.65623675E+01 0.23417345E+00
 0.66774968E+01 0.21900268E+00
 0.67926260E+01 0.20478608E+00
 0.69077553E+01 0.19146686E+00
 0.70228845E+01 0.17899164E+00
 0.71380138E+01 0.16731035E+00
 0.72531430E+01 0.15637468E+00
 0.73682723E+01 0.14613906E+00
 0.74834016E+01 0.13656086E+00
 0.75985308E+01 0.12759951E+00
 0.77136601E+01 0.11921644E+00
 0.78287893E+01 0.11137571E+00
 0.79439186E+01 0.10404334E+00
 0.80590478E+01 0.97187312E-01
 0.81741771E+01 0.90777513E-01
 0.82893063E+01 0.84785619E-01
 0.84044356E+01 0.79185013E-01
 0.85195648E+01 0.73950689E-01
 0.86346941E+01 0.69059169E-01
 0.87498234E+01 0.64488417E-01
 0.88649526E+01 0.60217759E-01
 0.89800819E+01 0.56227808E-01
 0.90952111E+01 0.52500386E-01
 0.92103404E+01 0.49018458E-01
