# Made with DarkSUSY version trunk (rev 1155)                                            
#..Rstore...... ..zstore...... ..diffhhstore. .diffrcepstore
 0.80000000E+01 0.00000000E+00 0.40000000E+01 0.10000000E-01
#..log(deltav). ...table(i)...
 -.23025851E+01 0.10093561E+01
 -.21874558E+01 0.10105130E+01
 -.20723266E+01 0.10118150E+01
 -.19571973E+01 0.10132810E+01
 -.18420681E+01 0.10149323E+01
 -.17269388E+01 0.10167933E+01
 -.16118096E+01 0.10188919E+01
 -.14966803E+01 0.10212599E+01
 -.13815511E+01 0.10239337E+01
 -.12664218E+01 0.10269554E+01
 -.11512925E+01 0.10303732E+01
 -.10361633E+01 0.10342420E+01
 -.92103404E+00 0.10386235E+01
 -.80590478E+00 0.10435846E+01
 -.69077553E+00 0.10491930E+01
 -.57564627E+00 0.10555104E+01
 -.46051702E+00 0.10625828E+01
 -.34538776E+00 0.10704314E+01
 -.23025851E+00 0.10790455E+01
 -.11512925E+00 0.10883862E+01
 0.44408921E-15 0.10984031E+01
 0.11512925E+00 0.11090495E+01
 0.23025851E+00 0.11205038E+01
 0.34538776E+00 0.11330088E+01
 0.46051702E+00 0.11473182E+01
 0.57564627E+00 0.11647003E+01
 0.69077553E+00 0.11870000E+01
 0.80590478E+00 0.12164412E+01
 0.92103404E+00 0.12551213E+01
 0.10361633E+01 0.13042331E+01
 0.11512925E+01 0.13631838E+01
 0.12664218E+01 0.14288822E+01
 0.13815511E+01 0.14954815E+01
 0.14966803E+01 0.15547701E+01
 0.16118096E+01 0.15972250E+01
 0.17269388E+01 0.16135376E+01
 0.18420681E+01 0.15962665E+01
 0.19571973E+01 0.15412298E+01
 0.20723266E+01 0.14483222E+01
 0.21874558E+01 0.13216053E+01
 0.22450205E+01 0.12478383E+01
 0.23025851E+01 0.11686953E+01
 0.23601497E+01 0.10854948E+01
 0.24177143E+01 0.99961666E+00
 0.24752790E+01 0.91245444E+00
 0.25328436E+01 0.82537062E+00
 0.25616259E+01 0.78226497E+00
 0.25904082E+01 0.73965472E+00
 0.26191905E+01 0.69768366E+00
 0.26479729E+01 0.65648684E+00
 0.26767552E+01 0.61618969E+00
 0.27055375E+01 0.57690748E+00
 0.27343198E+01 0.53874469E+00
 0.27631021E+01 0.50179462E+00
 0.27918844E+01 0.46613911E+00
 0.28206667E+01 0.43184836E+00
 0.28494491E+01 0.39898087E+00
 0.28782314E+01 0.36758350E+00
 0.29070137E+01 0.33769166E+00
 0.29357960E+01 0.30932959E+00
 0.29645783E+01 0.28251068E+00
 0.29933606E+01 0.25723803E+00
 0.30221429E+01 0.23350490E+00
 0.30509252E+01 0.21129538E+00
 0.30797076E+01 0.19058507E+00
 0.30940987E+01 0.18078233E+00
 0.31084899E+01 0.17134175E+00
 0.31228810E+01 0.16225821E+00
 0.31372722E+01 0.15352621E+00
 0.31516633E+01 0.14513988E+00
 0.31660545E+01 0.13709301E+00
 0.31804457E+01 0.12937909E+00
 0.31948368E+01 0.12199131E+00
 0.32092280E+01 0.11492260E+00
 0.32236191E+01 0.10816566E+00
 0.32380103E+01 0.10171297E+00
 0.32524014E+01 0.95556834E-01
 0.32667926E+01 0.89689395E-01
 0.32811838E+01 0.84102654E-01
 0.32955749E+01 0.78788501E-01
 0.33099661E+01 0.73738736E-01
 0.33243572E+01 0.68945092E-01
 0.33387484E+01 0.64399257E-01
 0.33531395E+01 0.60092895E-01
 0.33675307E+01 0.56017667E-01
 0.33819219E+01 0.52165249E-01
 0.33963130E+01 0.48527353E-01
 0.34107042E+01 0.45095744E-01
 0.34250953E+01 0.41862257E-01
 0.34394865E+01 0.38818813E-01
 0.34538776E+01 0.35957434E-01
 0.34682688E+01 0.33270259E-01
 0.34826600E+01 0.30749555E-01
 0.34970511E+01 0.28387731E-01
 0.35114423E+01 0.26177347E-01
 0.35258334E+01 0.24111127E-01
 0.35402246E+01 0.22181966E-01
 0.35546157E+01 0.20382940E-01
 0.35690069E+01 0.18707312E-01
 0.35833981E+01 0.17148540E-01
 0.35977892E+01 0.15700281E-01
 0.36121804E+01 0.14356394E-01
 0.36265715E+01 0.13110948E-01
 0.36409627E+01 0.11958221E-01
 0.36553538E+01 0.10892703E-01
 0.36697450E+01 0.99090974E-02
 0.36841361E+01 0.90023217E-02
 0.36985273E+01 0.81675060E-02
 0.37129185E+01 0.73999927E-02
 0.37273096E+01 0.66953348E-02
 0.37417008E+01 0.60492932E-02
 0.37560919E+01 0.54578340E-02
 0.37704831E+01 0.49171252E-02
 0.37776787E+01 0.46646590E-02
