# Made with DarkSUSY version je-new-halo (rev 1579)                                                
#..Rstore...... ..zstore...... .pw.
 0.80000000E+01 0.00000000E+00    1
#..diffhhstore. .diffrcepstore
 0.40000000E+01 0.10000000E-01
#..log(deltav). ...table(i)...
 -.23025851E+01 0.10007660E+01
 -.21874558E+01 0.10008596E+01
 -.20723266E+01 0.10009647E+01
 -.19571973E+01 0.10010826E+01
 -.18420681E+01 0.10012150E+01
 -.17269388E+01 0.10013636E+01
 -.16118096E+01 0.10015305E+01
 -.14966803E+01 0.10017178E+01
 -.13815511E+01 0.10019281E+01
 -.12664218E+01 0.10021641E+01
 -.11512925E+01 0.10024286E+01
 -.10361633E+01 0.10027239E+01
 -.92103404E+00 0.10030495E+01
 -.80590478E+00 0.10033987E+01
 -.69077553E+00 0.10037511E+01
 -.57564627E+00 0.10040612E+01
 -.46051702E+00 0.10042438E+01
 -.34538776E+00 0.10041584E+01
 -.23025851E+00 0.10035955E+01
 -.11512925E+00 0.10022702E+01
 0.44408921E-15 0.99982611E+00
 0.11512925E+00 0.99585046E+00
 0.23025851E+00 0.98989947E+00
 0.34538776E+00 0.98152998E+00
 0.46051702E+00 0.97033175E+00
 0.57564627E+00 0.95595464E+00
 0.69077553E+00 0.93812530E+00
 0.80590478E+00 0.91665030E+00
 0.92103404E+00 0.89140600E+00
 0.10361633E+01 0.86231887E+00
 0.11512925E+01 0.82934357E+00
 0.12664218E+01 0.79244826E+00
 0.13815511E+01 0.75161601E+00
 0.14966803E+01 0.70686810E+00
 0.16118096E+01 0.65830940E+00
 0.17269388E+01 0.60618843E+00
 0.18420681E+01 0.55095896E+00
 0.18996327E+01 0.52238839E+00
 0.19571973E+01 0.49332616E+00
 0.20147620E+01 0.46390221E+00
 0.20723266E+01 0.43426193E+00
 0.21298912E+01 0.40456422E+00
 0.21874558E+01 0.37497904E+00
 0.22450205E+01 0.34568425E+00
 0.23025851E+01 0.31686200E+00
 0.23601497E+01 0.28869478E+00
 0.24177143E+01 0.26136113E+00
 0.24464967E+01 0.24806058E+00
 0.24752790E+01 0.23503143E+00
 0.25040613E+01 0.22229302E+00
 0.25328436E+01 0.20986365E+00
 0.25616259E+01 0.19776048E+00
 0.25904082E+01 0.18599943E+00
 0.26191905E+01 0.17459507E+00
 0.26479729E+01 0.16356054E+00
 0.26767552E+01 0.15290747E+00
 0.27055375E+01 0.14264593E+00
 0.27343198E+01 0.13278433E+00
 0.27631021E+01 0.12332945E+00
 0.27918844E+01 0.11428634E+00
 0.28206667E+01 0.10565836E+00
 0.28494491E+01 0.97447166E-01
 0.28782314E+01 0.89652704E-01
 0.29070137E+01 0.82273268E-01
 0.29357960E+01 0.75305530E-01
 0.29645783E+01 0.68744595E-01
 0.29933606E+01 0.62584068E-01
 0.30221429E+01 0.56816139E-01
 0.30509252E+01 0.51431668E-01
 0.30797076E+01 0.46420287E-01
 0.30940987E+01 0.44050958E-01
 0.31084899E+01 0.41770513E-01
 0.31228810E+01 0.39577361E-01
 0.31372722E+01 0.37469855E-01
 0.31516633E+01 0.35446298E-01
 0.31660545E+01 0.33504945E-01
 0.31804457E+01 0.31644007E-01
 0.31948368E+01 0.29861658E-01
 0.32092280E+01 0.28156035E-01
 0.32236191E+01 0.26525245E-01
 0.32380103E+01 0.24967368E-01
 0.32524014E+01 0.23480461E-01
 0.32667926E+01 0.22062563E-01
 0.32811838E+01 0.20711698E-01
 0.32955749E+01 0.19425877E-01
 0.33099661E+01 0.18203109E-01
 0.33243572E+01 0.17041394E-01
 0.33387484E+01 0.15938738E-01
 0.33531395E+01 0.14893149E-01
 0.33675307E+01 0.13902641E-01
 0.33819219E+01 0.12965243E-01
 0.33963130E+01 0.12078997E-01
 0.34107042E+01 0.11241961E-01
 0.34250953E+01 0.10452218E-01
 0.34394865E+01 0.97078700E-02
 0.34538776E+01 0.90070492E-02
 0.34682688E+01 0.83479154E-02
 0.34826600E+01 0.77286601E-02
 0.34970511E+01 0.71475087E-02
 0.35114423E+01 0.66027228E-02
 0.35258334E+01 0.60926016E-02
 0.35402246E+01 0.56154842E-02
 0.35546157E+01 0.51697511E-02
 0.35690069E+01 0.47538253E-02
 0.35833981E+01 0.43661739E-02
 0.35977892E+01 0.40053092E-02
 0.36121804E+01 0.36697892E-02
 0.36265715E+01 0.33582191E-02
 0.36409627E+01 0.30692510E-02
 0.36553538E+01 0.28015849E-02
 0.36697450E+01 0.25539691E-02
 0.36841361E+01 0.23251996E-02
 0.36985273E+01 0.21141210E-02
 0.37129185E+01 0.19196254E-02
 0.37273096E+01 0.17406530E-02
 0.37417008E+01 0.15761908E-02
 0.37560919E+01 0.14252729E-02
 0.37704831E+01 0.12869792E-02
 0.37848742E+01 0.11604348E-02
 0.37992654E+01 0.10448095E-02
 0.38064610E+01 0.99084379E-03
 0.38136566E+01 0.93931611E-03
 0.38208521E+01 0.89013467E-03
 0.38280477E+01 0.84321029E-03
 0.38352433E+01 0.79845637E-03
 0.38424389E+01 0.75578880E-03
 0.38496345E+01 0.71512594E-03
 0.38568300E+01 0.67638859E-03
 0.38640256E+01 0.63949995E-03
 0.38712212E+01 0.60438556E-03
 0.38784168E+01 0.57097327E-03
 0.38856123E+01 0.53919323E-03
 0.38928079E+01 0.50897778E-03
 0.39000035E+01 0.48026148E-03
 0.39071991E+01 0.45298103E-03
 0.39143947E+01 0.42707521E-03
 0.39215902E+01 0.40248488E-03
 0.39287858E+01 0.37915291E-03
 0.39359814E+01 0.35702413E-03
 0.39431770E+01 0.33604532E-03
 0.39503726E+01 0.31616511E-03
 0.39575681E+01 0.29733401E-03
 0.39647637E+01 0.27950428E-03
 0.39719593E+01 0.26262998E-03
 0.39791549E+01 0.24666685E-03
 0.39863504E+01 0.23157228E-03
 0.39935460E+01 0.21730532E-03
 0.40007416E+01 0.20382657E-03
 0.40079372E+01 0.19109817E-03
 0.40151328E+01 0.17908376E-03
 0.40223283E+01 0.16774843E-03
 0.40295239E+01 0.15705867E-03
 0.40367195E+01 0.14698234E-03
 0.40439151E+01 0.13748864E-03
 0.40511106E+01 0.12854804E-03
 0.40583062E+01 0.12013228E-03
 0.40655018E+01 0.11221427E-03
 0.40726974E+01 0.10476812E-03
 0.40798930E+01 0.97769076E-04
 0.40870885E+01 0.91193450E-04
 0.41446532E+01 0.51323276E-04
 0.42597824E+01 0.14696006E-04
 0.43749117E+01 0.36300003E-05
 0.44900409E+01 0.75996003E-06
 0.46051702E+01 0.13220858E-06
 0.47202994E+01 0.18693476E-07
 0.48354287E+01 0.20953502E-08
