# Made with DarkSUSY version pu-crfix2 (rev 1204)                                                  
#..Rstore...... ..zstore...... .pw.
 0.80000000E+01 0.00000000E+00    2
#..diffhhstore. .diffrcepstore
 0.40000000E+01 0.10000000E-01
#..log(deltav). ...table(i)...
 -.23025851E+01 0.99808867E+00
 -.21874558E+01 0.99785504E+00
 -.20723266E+01 0.99759279E+00
 -.19571973E+01 0.99729841E+00
 -.18420681E+01 0.99696795E+00
 -.17269388E+01 0.99659695E+00
 -.16118096E+01 0.99618041E+00
 -.14966803E+01 0.99571271E+00
 -.13815511E+01 0.99518749E+00
 -.12664218E+01 0.99459755E+00
 -.11512925E+01 0.99393442E+00
 -.10361633E+01 0.99318760E+00
 -.92103404E+00 0.99234237E+00
 -.80590478E+00 0.99137555E+00
 -.69077553E+00 0.99024774E+00
 -.57564627E+00 0.98889153E+00
 -.46051702E+00 0.98719624E+00
 -.34538776E+00 0.98499162E+00
 -.23025851E+00 0.98203444E+00
 -.11512925E+00 0.97800240E+00
 0.44408921E-15 0.97249888E+00
 0.11512925E+00 0.96506982E+00
 0.23025851E+00 0.95523132E+00
 0.34538776E+00 0.94250415E+00
 0.46051702E+00 0.92645015E+00
 0.57564627E+00 0.90670542E+00
 0.69077553E+00 0.88300626E+00
 0.80590478E+00 0.85520559E+00
 0.92103404E+00 0.82327922E+00
 0.10361633E+01 0.78732339E+00
 0.11512925E+01 0.74754566E+00
 0.12664218E+01 0.70425251E+00
 0.13815511E+01 0.65783692E+00
 0.14966803E+01 0.60876920E+00
 0.16118096E+01 0.55759263E+00
 0.17269388E+01 0.50492400E+00
 0.17845034E+01 0.47824363E+00
 0.18420681E+01 0.45145602E+00
 0.18996327E+01 0.42465960E+00
 0.19571973E+01 0.39795712E+00
 0.20147620E+01 0.37145507E+00
 0.20723266E+01 0.34526296E+00
 0.21298912E+01 0.31949226E+00
 0.21874558E+01 0.29425518E+00
 0.22450205E+01 0.26966318E+00
 0.23025851E+01 0.24582531E+00
 0.23601497E+01 0.22284642E+00
 0.24177143E+01 0.20082521E+00
 0.24464967E+01 0.19020243E+00
 0.24752790E+01 0.17985231E+00
 0.25040613E+01 0.16978461E+00
 0.25328436E+01 0.16000835E+00
 0.25616259E+01 0.15053174E+00
 0.25904082E+01 0.14136217E+00
 0.26191905E+01 0.13250614E+00
 0.26479729E+01 0.12396920E+00
 0.26767552E+01 0.11575597E+00
 0.27055375E+01 0.10787007E+00
 0.27343198E+01 0.10031408E+00
 0.27631021E+01 0.93089589E-01
 0.27918844E+01 0.86197103E-01
 0.28206667E+01 0.79636106E-01
 0.28494491E+01 0.73405032E-01
 0.28782314E+01 0.67501288E-01
 0.29070137E+01 0.61921272E-01
 0.29357960E+01 0.56660398E-01
 0.29645783E+01 0.51713135E-01
 0.29933606E+01 0.47073048E-01
 0.30221429E+01 0.42732845E-01
 0.30509252E+01 0.38684435E-01
 0.30797076E+01 0.34918992E-01
 0.30940987E+01 0.33139440E-01
 0.31084899E+01 0.31427020E-01
 0.31228810E+01 0.29780452E-01
 0.31372722E+01 0.28198424E-01
 0.31516633E+01 0.26679593E-01
 0.31660545E+01 0.25222590E-01
 0.31804457E+01 0.23826020E-01
 0.31948368E+01 0.22488464E-01
 0.32092280E+01 0.21208486E-01
 0.32236191E+01 0.19984632E-01
 0.32380103E+01 0.18815431E-01
 0.32524014E+01 0.17699402E-01
 0.32667926E+01 0.16635056E-01
 0.32811838E+01 0.15620894E-01
 0.32955749E+01 0.14655416E-01
 0.33099661E+01 0.13737117E-01
 0.33243572E+01 0.12864496E-01
 0.33387484E+01 0.12036053E-01
 0.33531395E+01 0.11250296E-01
 0.33675307E+01 0.10505737E-01
 0.33819219E+01 0.98009030E-02
 0.33963130E+01 0.91343306E-02
 0.34107042E+01 0.85045721E-02
 0.34250953E+01 0.79101962E-02
 0.34394865E+01 0.73497902E-02
 0.34538776E+01 0.68219622E-02
 0.34682688E+01 0.63253422E-02
 0.34826600E+01 0.58585844E-02
 0.34970511E+01 0.54203684E-02
 0.35114423E+01 0.50094008E-02
 0.35258334E+01 0.46244163E-02
 0.35402246E+01 0.42641794E-02
 0.35546157E+01 0.39274850E-02
 0.35690069E+01 0.36131596E-02
 0.35833981E+01 0.33200623E-02
 0.35977892E+01 0.30470854E-02
 0.36121804E+01 0.27931551E-02
 0.36265715E+01 0.25572319E-02
 0.36409627E+01 0.23383115E-02
 0.36553538E+01 0.21354243E-02
 0.36697450E+01 0.19476364E-02
 0.36841361E+01 0.17740492E-02
 0.36985273E+01 0.16137995E-02
 0.37129185E+01 0.14660596E-02
 0.37273096E+01 0.13300368E-02
 0.37417008E+01 0.12049732E-02
 0.37560919E+01 0.10901455E-02
 0.37704831E+01 0.98486426E-03
 0.37848742E+01 0.88847352E-03
 0.37992654E+01 0.80035021E-03
 0.38064610E+01 0.75920294E-03
 0.38136566E+01 0.71990341E-03
 0.38208521E+01 0.68238265E-03
 0.38280477E+01 0.64657364E-03
 0.38352433E+01 0.61241120E-03
 0.38424389E+01 0.57983206E-03
 0.38496345E+01 0.54877475E-03
 0.38568300E+01 0.51917965E-03
 0.38640256E+01 0.49098888E-03
 0.38712212E+01 0.46414633E-03
 0.38784168E+01 0.43859762E-03
 0.38856123E+01 0.41429003E-03
 0.38928079E+01 0.39117254E-03
 0.39000035E+01 0.36919574E-03
 0.39071991E+01 0.34831182E-03
 0.39143947E+01 0.32847454E-03
 0.39215902E+01 0.30963920E-03
 0.39287858E+01 0.29176261E-03
 0.39359814E+01 0.27480305E-03
 0.39431770E+01 0.25872022E-03
 0.39503726E+01 0.24347527E-03
 0.39575681E+01 0.22903070E-03
 0.39647637E+01 0.21535036E-03
 0.39719593E+01 0.20239941E-03
 0.39791549E+01 0.19014430E-03
 0.39863504E+01 0.17855272E-03
 0.39935460E+01 0.16759359E-03
 0.40007416E+01 0.15723699E-03
 0.40079372E+01 0.14745418E-03
 0.40151328E+01 0.13821754E-03
 0.40223283E+01 0.12950052E-03
 0.40295239E+01 0.12127766E-03
 0.40367195E+01 0.11352450E-03
 0.40439151E+01 0.10621760E-03
 0.40511106E+01 0.99334498E-04
 0.40583062E+01 0.92853647E-04
 0.40870885E+01 0.70553436E-04
 0.41446532E+01 0.39781590E-04
 0.42597824E+01 0.11431758E-04
 0.43749117E+01 0.28329734E-05
 0.44900409E+01 0.59485408E-06
 0.46051702E+01 0.10375906E-06
 0.47202994E+01 0.14704602E-07
 0.48354287E+01 0.16515160E-08
