# Made with DarkSUSY version pu-crfix2 (rev 1204)                                                  
#..Rstore...... ..zstore...... .pw.
 0.80000000E+01 0.00000000E+00    2
#..diffhhstore. .diffrcepstore
 0.40000000E+01 0.10000000E-01
#..log(deltav). ...table(i)...
 -.46051702E+01 0.10011739E+01
 -.44670151E+01 0.10013481E+01
 -.43288600E+01 0.10015482E+01
 -.41907049E+01 0.10017781E+01
 -.40525498E+01 0.10020422E+01
 -.39143947E+01 0.10023456E+01
 -.37762396E+01 0.10026943E+01
 -.36380844E+01 0.10030950E+01
 -.34999293E+01 0.10035556E+01
 -.33617742E+01 0.10040851E+01
 -.32236191E+01 0.10046939E+01
 -.30854640E+01 0.10053941E+01
 -.29473089E+01 0.10061994E+01
 -.28091538E+01 0.10071262E+01
 -.26709987E+01 0.10081928E+01
 -.25328436E+01 0.10094210E+01
 -.23946885E+01 0.10108359E+01
 -.22565334E+01 0.10124666E+01
 -.21183783E+01 0.10143471E+01
 -.19802232E+01 0.10165172E+01
 -.18420681E+01 0.10190234E+01
 -.17039130E+01 0.10219205E+01
 -.15657579E+01 0.10252729E+01
 -.14276028E+01 0.10291569E+01
 -.12894477E+01 0.10336634E+01
 -.11512925E+01 0.10389005E+01
 -.10131374E+01 0.10449971E+01
 -.87498234E+00 0.10521045E+01
 -.73682723E+00 0.10603947E+01
 -.59867212E+00 0.10700521E+01
 -.46051702E+00 0.10812596E+01
 -.32236191E+00 0.10941829E+01
 -.18420681E+00 0.11089688E+01
 -.46051702E-01 0.11257771E+01
 0.92103404E-01 0.11448734E+01
 0.23025851E+00 0.11668153E+01
 0.36841361E+00 0.11927409E+01
 0.50656872E+00 0.12247015E+01
 0.64472383E+00 0.12658297E+01
 0.78287893E+00 0.13200035E+01
 0.92103404E+00 0.13907074E+01
 0.10591891E+01 0.14791143E+01
 0.11973442E+01 0.15819238E+01
 0.13354994E+01 0.16898871E+01
 0.14736545E+01 0.17879620E+01
 0.16118096E+01 0.18575340E+01
 0.17499647E+01 0.18803186E+01
 0.18881198E+01 0.18427996E+01
 0.20262749E+01 0.17397776E+01
 0.21644300E+01 0.15759233E+01
 0.22335075E+01 0.14751836E+01
 0.23025851E+01 0.13649502E+01
 0.23716626E+01 0.12478815E+01
 0.24407402E+01 0.11267761E+01
 0.24752790E+01 0.10655895E+01
 0.25098178E+01 0.10044390E+01
 0.25443565E+01 0.94365529E+00
 0.25788953E+01 0.88355462E+00
 0.26134341E+01 0.82443532E+00
 0.26479729E+01 0.76657528E+00
 0.26825116E+01 0.71022955E+00
 0.27170504E+01 0.65562845E+00
 0.27515892E+01 0.60297600E+00
 0.27861280E+01 0.55244886E+00
 0.28206667E+01 0.50419565E+00
 0.28552055E+01 0.45833669E+00
 0.28897443E+01 0.41496414E+00
 0.29242831E+01 0.37414255E+00
 0.29415525E+01 0.35470120E+00
 0.29588218E+01 0.33590975E+00
 0.29760912E+01 0.31776896E+00
 0.29933606E+01 0.30027806E+00
 0.30106300E+01 0.28343487E+00
 0.30278994E+01 0.26723580E+00
 0.30451688E+01 0.25167592E+00
 0.30624382E+01 0.23674905E+00
 0.30797076E+01 0.22244780E+00
 0.30969770E+01 0.20876364E+00
 0.31142463E+01 0.19568700E+00
 0.31315157E+01 0.18320730E+00
 0.31487851E+01 0.17131304E+00
 0.31660545E+01 0.15999189E+00
 0.31833239E+01 0.14923074E+00
 0.32005933E+01 0.13901579E+00
 0.32178627E+01 0.12933263E+00
 0.32351321E+01 0.12016627E+00
 0.32524014E+01 0.11150128E+00
 0.32696708E+01 0.10332182E+00
 0.32869402E+01 0.95611713E-01
 0.33042096E+01 0.88354520E-01
 0.33214790E+01 0.81533611E-01
 0.33387484E+01 0.75132227E-01
 0.33560178E+01 0.69133537E-01
 0.33732872E+01 0.63520705E-01
 0.33905565E+01 0.58276943E-01
 0.34078259E+01 0.53385566E-01
 0.34250953E+01 0.48830044E-01
 0.34423647E+01 0.44594047E-01
 0.34596341E+01 0.40661493E-01
 0.34769035E+01 0.37016587E-01
 0.34941729E+01 0.33643858E-01
 0.35114423E+01 0.30528196E-01
 0.35287117E+01 0.27654877E-01
 0.35459810E+01 0.25009600E-01
 0.35632504E+01 0.22578499E-01
 0.35805198E+01 0.20348173E-01
 0.35891545E+01 0.19304243E-01
 0.35977892E+01 0.18305698E-01
 0.36064239E+01 0.17351000E-01
 0.36150586E+01 0.16438642E-01
 0.36236933E+01 0.15567149E-01
 0.36323280E+01 0.14735077E-01
 0.36409627E+01 0.13941015E-01
 0.36495974E+01 0.13183585E-01
 0.36582321E+01 0.12461438E-01
 0.36668668E+01 0.11773262E-01
 0.36755015E+01 0.11117773E-01
 0.36841361E+01 0.10493723E-01
 0.36927708E+01 0.98998946E-02
 0.37014055E+01 0.93351016E-02
 0.37100402E+01 0.87981912E-02
 0.37186749E+01 0.82880420E-02
 0.37273096E+01 0.78035643E-02
 0.37359443E+01 0.73436995E-02
 0.37445790E+01 0.69074204E-02
 0.37532137E+01 0.64937303E-02
 0.37618484E+01 0.61016632E-02
 0.37704831E+01 0.57302830E-02
 0.37791178E+01 0.53786835E-02
 0.37877525E+01 0.50459877E-02
 0.37963872E+01 0.47313476E-02
 0.38050219E+01 0.44339435E-02
 0.38136566E+01 0.41529838E-02
 0.38222913E+01 0.38877044E-02
 0.38309259E+01 0.36373683E-02
 0.38395606E+01 0.34012648E-02
 0.38481953E+01 0.31787095E-02
 0.38568300E+01 0.29690432E-02
 0.38654647E+01 0.27716316E-02
 0.38740994E+01 0.25858650E-02
 0.38827341E+01 0.24111574E-02
 0.38913688E+01 0.22469460E-02
 0.39000035E+01 0.20926906E-02
 0.39086382E+01 0.19478732E-02
 0.39172729E+01 0.18119974E-02
 0.39259076E+01 0.16845875E-02
 0.39345423E+01 0.15651883E-02
 0.39431770E+01 0.14533645E-02
 0.39518117E+01 0.13486996E-02
 0.39604464E+01 0.12507961E-02
 0.39690811E+01 0.11592743E-02
 0.39777157E+01 0.10737721E-02
 0.39863504E+01 0.99394424E-03
 0.39949851E+01 0.91946175E-03
 0.40036198E+01 0.85001149E-03
 0.40122545E+01 0.78529553E-03
 0.40208892E+01 0.72503062E-03
 0.40295239E+01 0.66894765E-03
 0.40381586E+01 0.61679116E-03
 0.40467933E+01 0.56831877E-03
 0.40554280E+01 0.52330071E-03
 0.40640627E+01 0.48151929E-03
 0.40726974E+01 0.44276846E-03
 0.40813321E+01 0.40685328E-03
 0.40899668E+01 0.37358948E-03
 0.40986015E+01 0.34280303E-03
 0.41072362E+01 0.31432962E-03
 0.41158709E+01 0.28801432E-03
 0.41245055E+01 0.26371108E-03
 0.41331402E+01 0.24128240E-03
 0.41417749E+01 0.22059884E-03
 0.41504096E+01 0.20153872E-03
 0.41590443E+01 0.18398771E-03
 0.41676790E+01 0.16783845E-03
 0.42367566E+01 0.78268351E-04
 0.43749117E+01 0.14508600E-04
 0.45130668E+01 0.21196156E-05
 0.46512219E+01 0.23583472E-06
 0.47893770E+01 0.19212827E-07
 0.49275321E+01 0.10948947E-08
