# Made with DarkSUSY version pu-crfix2 (rev 1204)                                                  
#..Rstore...... ..zstore...... .pw. .is.
 0.80000000E+01 0.00000000E+00    2    1
#..set..of..diffusion..parameters..
 0.40000000E+01 0.30000000E+02 0.10000000E+00 0.10000000E+01 0.00000000E+00 0.10000000E+02 0.10000000E-01 0.25000000E+02 0.25000000E+02 0.40000000E+01 0.60000000E+00 0.00000000E+00 0.10000000E+01 0.20000000E+01
#..log(tp). ...table(i)...
 -.23025851E+01 0.58464767E+01
 -.21874558E+01 0.58104041E+01
 -.20723266E+01 0.57678712E+01
 -.19571973E+01 0.57197743E+01
 -.18420681E+01 0.56670267E+01
 -.17269388E+01 0.56105452E+01
 -.16118096E+01 0.55512385E+01
 -.14966803E+01 0.54899952E+01
 -.13815511E+01 0.54276725E+01
 -.12664218E+01 0.53650867E+01
 -.11512925E+01 0.53030029E+01
 -.10361633E+01 0.52421276E+01
 -.92103404E+00 0.51831009E+01
 -.80590478E+00 0.51264910E+01
 -.69077553E+00 0.50727891E+01
 -.57564627E+00 0.50224064E+01
 -.46051702E+00 0.49756723E+01
 -.34538776E+00 0.49328340E+01
 -.23025851E+00 0.48940579E+01
 -.11512925E+00 0.48594325E+01
 0.44408921E-15 0.48289724E+01
 0.11512925E+00 0.48026249E+01
 0.23025851E+00 0.47802760E+01
 0.34538776E+00 0.47617591E+01
 0.46051702E+00 0.47468637E+01
 0.57564627E+00 0.47353442E+01
 0.69077553E+00 0.47269297E+01
 0.80590478E+00 0.47213326E+01
 0.92103404E+00 0.47182575E+01
 0.10361633E+01 0.47174086E+01
 0.11512925E+01 0.47184966E+01
 0.12664218E+01 0.45907592E+01
 0.13815511E+01 0.44557624E+01
 0.14966803E+01 0.43169899E+01
 0.16118096E+01 0.41750884E+01
 0.17269388E+01 0.40307270E+01
 0.18420681E+01 0.38845871E+01
 0.19571973E+01 0.37373523E+01
 0.20723266E+01 0.35896977E+01
 0.21874558E+01 0.34422788E+01
 0.23025851E+01 0.32957221E+01
 0.24177143E+01 0.31506163E+01
 0.25328436E+01 0.30075053E+01
 0.26479729E+01 0.28668833E+01
 0.27631021E+01 0.27291906E+01
 0.28782314E+01 0.25948122E+01
 0.29933606E+01 0.24640770E+01
 0.31084899E+01 0.23372588E+01
 0.32236191E+01 0.22145783E+01
 0.33387484E+01 0.20962055E+01
 0.34538776E+01 0.19822637E+01
 0.35690069E+01 0.18728326E+01
 0.36841361E+01 0.17679531E+01
 0.37992654E+01 0.16676311E+01
 0.39143947E+01 0.15718417E+01
 0.40295239E+01 0.14805334E+01
 0.41446532E+01 0.13936320E+01
 0.42597824E+01 0.13110441E+01
 0.43749117E+01 0.12326603E+01
 0.44900409E+01 0.11583588E+01
 0.46051702E+01 0.10880077E+01
 0.47202994E+01 0.10214676E+01
 0.48354287E+01 0.95859406E+00
 0.49505579E+01 0.89923901E+00
 0.50656872E+01 0.84325264E+00
 0.51808165E+01 0.79048487E+00
 0.52959457E+01 0.74078664E+00
 0.54110750E+01 0.69401032E+00
 0.55262042E+01 0.65001140E+00
 0.56413335E+01 0.60864861E+00
 0.57564627E+01 0.56978453E+00
 0.58715920E+01 0.53328611E+00
 0.59867212E+01 0.49902500E+00
 0.61018505E+01 0.46687727E+00
 0.62169798E+01 0.43672440E+00
 0.63321090E+01 0.40845278E+00
 0.64472383E+01 0.38195380E+00
 0.65623675E+01 0.35712397E+00
 0.66774968E+01 0.33386509E+00
 0.67926260E+01 0.31208326E+00
 0.69077553E+01 0.29168981E+00
 0.70228845E+01 0.27260044E+00
 0.71380138E+01 0.25473578E+00
 0.72531430E+01 0.23802048E+00
 0.73682723E+01 0.22238336E+00
 0.74834016E+01 0.20775748E+00
 0.75985308E+01 0.19407947E+00
 0.77136601E+01 0.18128950E+00
 0.78287893E+01 0.16933179E+00
 0.79439186E+01 0.15815373E+00
 0.80590478E+01 0.14770541E+00
 0.81741771E+01 0.13794054E+00
 0.82893063E+01 0.12881535E+00
 0.84044356E+01 0.12028843E+00
 0.85195648E+01 0.11232139E+00
 0.86346941E+01 0.10487807E+00
 0.87498234E+01 0.97924563E-01
 0.88649526E+01 0.91429092E-01
 0.89800819E+01 0.85361877E-01
 0.90952111E+01 0.79695024E-01
 0.92103404E+01 0.74402411E-01
