# Made with DarkSUSY version pu-crfix2 (rev 1204)                                                  
#..Rstore...... ..zstore...... .pw. .is.
 0.80000000E+01 0.00000000E+00    2    1
#..set..of..diffusion..parameters..
 0.40000000E+01 0.30000000E+02 0.10000000E+00 0.10000000E+01 0.00000000E+00 0.10000000E+02 0.10000000E-01 0.25000000E+02 0.25000000E+02 0.40000000E+01 0.60000000E+00 0.00000000E+00 0.10000000E+01 0.20000000E+01
#..log(tp). ...table(i)...
 -.23025851E+01 0.29625572E+01
 -.21874558E+01 0.29053334E+01
 -.20723266E+01 0.28475963E+01
 -.19571973E+01 0.27897733E+01
 -.18420681E+01 0.27322689E+01
 -.17269388E+01 0.26754621E+01
 -.16118096E+01 0.26197052E+01
 -.14966803E+01 0.25653213E+01
 -.13815511E+01 0.25126038E+01
 -.12664218E+01 0.24618146E+01
 -.11512925E+01 0.24131835E+01
 -.10361633E+01 0.23669070E+01
 -.92103404E+00 0.23231484E+01
 -.80590478E+00 0.22820373E+01
 -.69077553E+00 0.22436696E+01
 -.57564627E+00 0.22081077E+01
 -.46051702E+00 0.21753819E+01
 -.34538776E+00 0.21454906E+01
 -.23025851E+00 0.21184028E+01
 -.11512925E+00 0.20940591E+01
 0.44408921E-15 0.20723750E+01
 0.11512925E+00 0.20532430E+01
 0.23025851E+00 0.20365358E+01
 0.34538776E+00 0.20221103E+01
 0.46051702E+00 0.20098105E+01
 0.57564627E+00 0.19994716E+01
 0.69077553E+00 0.19909237E+01
 0.80590478E+00 0.19839950E+01
 0.92103404E+00 0.19785155E+01
 0.10361633E+01 0.19743195E+01
 0.11512925E+01 0.19712485E+01
 0.12664218E+01 0.18978426E+01
 0.13815511E+01 0.18233437E+01
 0.14966803E+01 0.17494940E+01
 0.16118096E+01 0.16764448E+01
 0.17269388E+01 0.16043523E+01
 0.18420681E+01 0.15333746E+01
 0.19571973E+01 0.14636674E+01
 0.20723266E+01 0.13953810E+01
 0.21874558E+01 0.13286569E+01
 0.23025851E+01 0.12636250E+01
 0.24177143E+01 0.12004013E+01
 0.25328436E+01 0.11390865E+01
 0.26479729E+01 0.10797649E+01
 0.27631021E+01 0.10225039E+01
 0.28782314E+01 0.96735399E+00
 0.29933606E+01 0.91434951E+00
 0.31084899E+01 0.86350907E+00
 0.32236191E+01 0.81483684E+00
 0.33387484E+01 0.76832374E+00
 0.34538776E+01 0.72394878E+00
 0.35690069E+01 0.68168047E+00
 0.36841361E+01 0.64147826E+00
 0.37992654E+01 0.60329385E+00
 0.39143947E+01 0.56707260E+00
 0.40295239E+01 0.53275467E+00
 0.41446532E+01 0.50027621E+00
 0.42597824E+01 0.46957037E+00
 0.43749117E+01 0.44056822E+00
 0.44900409E+01 0.41319955E+00
 0.46051702E+01 0.38739363E+00
 0.47202994E+01 0.36307977E+00
 0.48354287E+01 0.34018786E+00
 0.49505579E+01 0.31864881E+00
 0.50656872E+01 0.29839490E+00
 0.51808165E+01 0.27936010E+00
 0.52959457E+01 0.26148027E+00
 0.54110750E+01 0.24469335E+00
 0.55262042E+01 0.22893950E+00
 0.56413335E+01 0.21416118E+00
 0.57564627E+01 0.20030322E+00
 0.58715920E+01 0.18731284E+00
 0.59867212E+01 0.17513967E+00
 0.61018505E+01 0.16373570E+00
 0.62169798E+01 0.15305528E+00
 0.63321090E+01 0.14305507E+00
 0.64472383E+01 0.13369396E+00
 0.65623675E+01 0.12493304E+00
 0.66774968E+01 0.11673547E+00
 0.67926260E+01 0.10906649E+00
 0.69077553E+01 0.10189325E+00
 0.70228845E+01 0.95184785E-01
 0.71380138E+01 0.88911926E-01
 0.72531430E+01 0.83047195E-01
 0.73682723E+01 0.77564742E-01
 0.74834016E+01 0.72440259E-01
 0.75985308E+01 0.67650901E-01
 0.77136601E+01 0.63175209E-01
 0.78287893E+01 0.58993038E-01
 0.79439186E+01 0.55085481E-01
 0.80590478E+01 0.51434805E-01
 0.81741771E+01 0.48024380E-01
 0.82893063E+01 0.44838621E-01
 0.84044356E+01 0.41862921E-01
 0.85195648E+01 0.39083598E-01
 0.86346941E+01 0.36487839E-01
 0.87498234E+01 0.34063646E-01
 0.88649526E+01 0.31799790E-01
 0.89800819E+01 0.29685762E-01
 0.90952111E+01 0.27711728E-01
 0.92103404E+01 0.25868489E-01
