# Made with DarkSUSY version pu-crfix2 (rev 1204)                                                  
#..Rstore...... ..zstore...... .pw. .is.
 0.80000000E+01 0.00000000E+00    2    1
#..set..of..diffusion..parameters..
 0.40000000E+01 0.30000000E+02 0.10000000E+00 0.10000000E+01 0.00000000E+00 0.10000000E+02 0.10000000E-01 0.25000000E+02 0.25000000E+02 0.40000000E+01 0.60000000E+00 0.00000000E+00 0.10000000E+01 0.20000000E+01
#..log(tp). ...table(i)...
 -.23025851E+01 0.66250612E+01
 -.21874558E+01 0.65899466E+01
 -.20723266E+01 0.65469359E+01
 -.19571973E+01 0.64970795E+01
 -.18420681E+01 0.64414484E+01
 -.17269388E+01 0.63811195E+01
 -.16118096E+01 0.63171604E+01
 -.14966803E+01 0.62506159E+01
 -.13815511E+01 0.61824949E+01
 -.12664218E+01 0.61137579E+01
 -.11512925E+01 0.60453069E+01
 -.10361633E+01 0.59779748E+01
 -.92103404E+00 0.59125180E+01
 -.80590478E+00 0.58496086E+01
 -.69077553E+00 0.57898294E+01
 -.57564627E+00 0.57336704E+01
 -.46051702E+00 0.56815262E+01
 -.34538776E+00 0.56336960E+01
 -.23025851E+00 0.55903853E+01
 -.11512925E+00 0.55517089E+01
 0.44408921E-15 0.55176963E+01
 0.11512925E+00 0.54882980E+01
 0.23025851E+00 0.54633939E+01
 0.34538776E+00 0.54428027E+01
 0.46051702E+00 0.54262915E+01
 0.57564627E+00 0.54135866E+01
 0.69077553E+00 0.54043847E+01
 0.80590478E+00 0.53983626E+01
 0.92103404E+00 0.53951873E+01
 0.10361633E+01 0.53945252E+01
 0.11512925E+01 0.53960491E+01
 0.12664218E+01 0.52516316E+01
 0.13815511E+01 0.50986920E+01
 0.14966803E+01 0.49412046E+01
 0.16118096E+01 0.47799320E+01
 0.17269388E+01 0.46156606E+01
 0.18420681E+01 0.44491896E+01
 0.19571973E+01 0.42813193E+01
 0.20723266E+01 0.41128390E+01
 0.21874558E+01 0.39445142E+01
 0.23025851E+01 0.37770761E+01
 0.24177143E+01 0.36112114E+01
 0.25328436E+01 0.34475546E+01
 0.26479729E+01 0.32866820E+01
 0.27631021E+01 0.31291072E+01
 0.28782314E+01 0.29752797E+01
 0.29933606E+01 0.28255835E+01
 0.31084899E+01 0.26803390E+01
 0.32236191E+01 0.25398047E+01
 0.33387484E+01 0.24041807E+01
 0.34538776E+01 0.22736125E+01
 0.35690069E+01 0.21481955E+01
 0.36841361E+01 0.20279797E+01
 0.37992654E+01 0.19129749E+01
 0.39143947E+01 0.18031550E+01
 0.40295239E+01 0.16984632E+01
 0.41446532E+01 0.15988161E+01
 0.42597824E+01 0.15041082E+01
 0.43749117E+01 0.14142155E+01
 0.44900409E+01 0.13289996E+01
 0.46051702E+01 0.12483100E+01
 0.47202994E+01 0.11719879E+01
 0.48354287E+01 0.10998682E+01
 0.49505579E+01 0.10317816E+01
 0.50656872E+01 0.96755690E+00
 0.51808165E+01 0.90702248E+00
 0.52959457E+01 0.85000753E+00
 0.54110750E+01 0.79634337E+00
 0.55262042E+01 0.74586435E+00
 0.56413335E+01 0.69840862E+00
 0.57564627E+01 0.65381879E+00
 0.58715920E+01 0.61194232E+00
 0.59867212E+01 0.57263200E+00
 0.61018505E+01 0.53574608E+00
 0.62169798E+01 0.50114854E+00
 0.63321090E+01 0.46870911E+00
 0.64472383E+01 0.43830335E+00
 0.65623675E+01 0.40981259E+00
 0.66774968E+01 0.38312388E+00
 0.67926260E+01 0.35812990E+00
 0.69077553E+01 0.33472879E+00
 0.70228845E+01 0.31282407E+00
 0.71380138E+01 0.29232438E+00
 0.72531430E+01 0.27314338E+00
 0.73682723E+01 0.25519952E+00
 0.74834016E+01 0.23841585E+00
 0.75985308E+01 0.22271982E+00
 0.77136601E+01 0.20804309E+00
 0.78287893E+01 0.19432132E+00
 0.79439186E+01 0.18149399E+00
 0.80590478E+01 0.16950421E+00
 0.81741771E+01 0.15829849E+00
 0.82893063E+01 0.14782662E+00
 0.84044356E+01 0.13804146E+00
 0.85195648E+01 0.12889877E+00
 0.86346941E+01 0.12035706E+00
 0.87498234E+01 0.11237742E+00
 0.88649526E+01 0.10492339E+00
 0.89800819E+01 0.97960799E-01
 0.90952111E+01 0.91457641E-01
 0.92103404E+01 0.85383940E-01
